date,model,host,headline,output,messages,estimated
2026-05-16,Sonnet 4.6,-,344127,66060,102,1
2026-05-17,Sonnet 4.6,-,1634603,313786,486,1
2026-05-18,Sonnet 4.6,-,516190,99090,154,1
2026-05-19,Other,mac-1,0,0,1,0
2026-05-19,Sonnet 4.6,mac-1,1959618,392627,525,0
2026-05-20,Other,mac-1,0,0,5,0
2026-05-20,Sonnet 4.6,mac-1,1905095,407630,695,0
2026-05-21,Sonnet 4.6,mac-1,609260,126725,117,0
2026-05-22,Other,mac-1,0,0,3,0
2026-05-22,Sonnet 4.6,mac-1,4645392,823611,1368,0
2026-05-23,Opus 4.7,mac-1,838706,254870,198,0
2026-05-23,Other,mac-1,0,0,8,0
2026-05-23,Sonnet 4.6,mac-1,4363093,972324,1740,0
2026-05-24,Opus 4.7,mac-1,3489660,600972,978,0
2026-05-24,Other,mac-1,0,0,3,0
2026-05-24,Sonnet 4.6,mac-1,1321148,244237,498,0
2026-05-25,Opus 4.7,mac-1,235474,58561,50,0
2026-05-25,Sonnet 4.6,mac-1,979534,252495,479,0
2026-05-26,Opus 4.7,mac-1,1129851,119123,196,0
2026-05-26,Other,mac-1,0,0,1,0
2026-05-26,Sonnet 4.6,mac-1,3591014,909477,1653,0
2026-05-27,Opus 4.7,mac-1,2858319,366243,570,0
2026-05-27,Sonnet 4.6,mac-1,191006,31890,81,0
2026-05-28,Opus 4.7,mac-1,930198,161719,237,0
2026-05-29,Opus 4.7,mac-1,1619972,234606,428,0
2026-05-30,Haiku 4.5,mac-1,93233,8776,27,0
2026-05-30,Opus 4.7,mac-1,2282701,465203,736,0
2026-05-30,Opus 4.8,mac-1,395385,118821,144,0
2026-05-31,Opus 4.7,mac-1,1713886,289562,499,0
2026-05-31,Other,mac-1,0,0,3,0
2026-06-01,Opus 4.7,mac-1,842908,136397,181,0
2026-06-02,Opus 4.7,mac-1,1005816,171495,348,0
2026-06-02,Opus 4.8,mac-1,845756,169532,195,0
2026-06-03,Opus 4.8,mac-1,4567061,879626,973,0
2026-06-03,Other,mac-1,0,0,2,0
2026-06-04,Opus 4.8,mac-1,998000,208025,356,0
2026-06-05,Opus 4.8,mac-1,821166,119257,152,0
2026-06-06,Opus 4.8,mac-1,3604454,852983,921,0
2026-06-07,Opus 4.8,mac-1,3385344,718473,898,0
