dim,bucket,days,commits,prs,feat,fix,tokens,attended_buckets,active_buckets
hour,0,35,89,40,18,12,10445275,18,61
hour,1,23,61,47,6,6,4566893,11,43
hour,10,43,124,115,13,25,21739444,38,95
hour,11,30,99,67,15,19,14704821,27,61
hour,12,27,64,39,16,15,8670916,23,55
hour,13,37,120,66,21,21,14793835,32,69
hour,14,35,96,91,7,15,22564118,45,86
hour,15,34,72,59,8,17,10879309,21,63
hour,16,40,108,71,13,18,17640318,35,79
hour,17,42,116,87,13,17,18557217,33,90
hour,18,36,115,94,11,23,16502882,34,85
hour,19,36,93,55,14,24,15013769,31,75
hour,2,15,42,34,3,6,9283662,16,42
hour,20,36,94,83,16,14,25398619,38,87
hour,21,36,94,74,13,17,13982357,40,91
hour,22,46,121,90,16,28,17409676,32,87
hour,23,47,118,74,16,29,9960880,31,72
hour,3,22,57,30,6,4,11313310,21,38
hour,4,10,37,33,2,3,10009103,23,42
hour,5,14,48,49,3,5,14219454,28,57
hour,6,18,63,71,9,10,13718769,45,83
hour,7,29,80,89,5,18,14861057,35,68
hour,8,42,108,92,14,23,25635604,44,75
hour,9,49,151,140,16,21,36180067,67,116
offset_hours,-7.0,0,0,0,0,0,0,0,0
weekday,0,15,315,253,47,49,62057464,117,264
weekday,1,15,381,318,60,74,83273870,142,329
weekday,2,14,204,168,32,41,55955795,53,206
weekday,3,14,216,151,21,39,37502828,79,179
weekday,4,13,263,214,29,49,35450953,84,228
weekday,5,14,440,288,47,68,54825264,140,231
weekday,6,14,381,298,43,73,48985181,153,283
