date,host,kind,sessions,headline
2026-07-26,mac-2,manual,14,6535505
2026-07-27,mac-2,dispatched,21,6520575
2026-07-27,mac-2,manual,11,8899973
2026-07-28,mac-2,dispatched,8,4664470
2026-07-28,mac-2,manual,26,9964617
2026-07-29,mac-2,manual,12,13628710
2026-07-30,mac-2,manual,3,6211237
2026-07-30,mac-2,unprompted,1,527610
2026-07-31,mac-2,dispatched,13,4840872
2026-07-31,mac-2,manual,26,11727278
2026-08-01,mac-2,manual,41,22231436
2026-08-02,mac-2,manual,22,8825339
2026-08-02,mac-2,unprompted,23,603116
2026-08-03,mac-2,dispatched,24,8761274
2026-08-03,mac-2,manual,8,9179037
2026-08-04,mac-2,dispatched,31,15164303
2026-08-04,mac-2,manual,9,5631412
2026-08-05,mac-2,dispatched,0,860297
2026-08-05,mac-2,manual,12,3821263
2026-08-05,mac-2,unprompted,1,327276
2026-08-06,mac-2,manual,14,16923563
2026-08-06,mac-2,unprompted,0,187922
2026-08-07,mac-2,manual,1,2757539
2026-08-08,mac-2,dispatched,11,9250436
2026-08-08,mac-2,manual,4,7602159
2026-08-09,mac-2,dispatched,3,4627258
2026-08-09,mac-2,manual,6,11289491
2026-08-10,mac-2,manual,6,6283596
2026-08-11,mac-2,dispatched,4,4485884
2026-08-11,mac-2,manual,4,8855540
2026-08-12,mac-2,manual,10,17137173
2026-08-12,mac-2,unprompted,27,17099901
2026-08-13,mac-2,manual,4,13974640
2026-08-13,mac-2,unprompted,0,910393
2026-08-14,mac-2,manual,21,15928989
2026-08-14,mac-2,unprompted,1,297674
2026-08-15,mac-2,dispatched,4,1215261
2026-08-15,mac-2,manual,4,10541684
2026-08-16,mac-2,dispatched,0,1068774
2026-08-16,mac-2,manual,7,5896547
2026-08-17,mac-2,manual,1,4937921
2026-08-18,mac-2,manual,7,7369657
2026-08-18,mac-2,unprompted,31,10093504
2026-08-19,mac-2,manual,6,4238651
2026-08-19,mac-2,unprompted,6,3136952
2026-08-20,mac-2,manual,0,1749663
2026-08-20,mac-2,unprompted,0,333679
2026-08-21,mac-2,manual,9,7775173
2026-08-24,mac-2,manual,1,308847
2026-08-25,mac-2,dispatched,38,8948375
2026-08-25,mac-2,manual,20,20902020
2026-08-26,mac-2,manual,5,2625447
2026-08-27,mac-2,manual,0,372186
