date,input,output,cache_creation,cache_read,assistant_msgs,user_msgs
2026-05-19,8103,392627,1558888,47146904,526,616
2026-05-20,12583,407630,1484882,58936608,700,823
2026-05-21,498,126725,482037,8971466,117,162
2026-05-22,2791,823611,3818990,131738035,1371,1543
2026-05-23,5999,1227194,3968606,206707909,1946,2275
2026-05-24,5229,845209,3960370,320284729,1479,1692
2026-05-25,663,311056,903289,42658934,529,660
2026-05-26,2695,1028600,3689570,177743062,1850,2076
2026-05-27,903,398133,2650289,122476721,651,792
2026-05-28,297,161719,768182,49040916,237,318
2026-05-29,707,234606,1384659,38142940,428,501
2026-05-30,10930,592800,2167589,95530685,907,1113
2026-05-31,699,289562,1423625,48002292,502,594
2026-06-01,236,136397,706275,21712933,181,210
2026-06-02,51209,341027,1459336,68621710,543,659
2026-06-03,160330,879626,3527105,111211674,975,1037
2026-06-04,67315,208025,722660,34026781,356,365
2026-06-05,24843,119257,677066,11867127,152,155
2026-06-06,155399,852983,2596072,140854043,921,1019
2026-06-07,138091,718473,2528780,105558292,902,966
2026-06-08,77487,409126,1903717,53443334,423,452
